name,field_office,address_line1,city,state,postal_code,country,phone,address_full,detail_url,latitude,longitude,trac_type_detailed,trac_guaranteed_minimum,trac_average_daily_population,trac_as_of
Natrona County Detention Center,Denver Field Office,1100 Bruce Lane,Casper,WY,82601,United States,,"1100 Bruce Lane Casper, WY 82601 United States",https://www.ice.gov/detain/detention-facilities/natrona-county-detention-center,42.8626014,-106.3455262,,,,
Naval Station Guantanamo Bay (JTF Camp Six and Migrant Ops Center Main A),Miami Field Office,,,,,,,,https://www.ice.gov/detain/detention-facilities/naval-station-guantanamo-bay,38.7945952,-106.5348379,,,,
Nevada Southern Detention Center,Salt Lake City Field Office,2190 E Mesquite Avenue,Pahrump,NV,89048,United States,,"2190 E Mesquite Avenue Pahrump, NV 89048 United States",https://www.ice.gov/detain/detention-facilities/nevada-southern-detention-center,36.252992,-115.975308,USMS CDF,,460,11/28/2025
North Lake Processing Center,Detroit Field Office,1805 W 32nd Street,Baldwin,MI,49304,United States,,"1805 W 32nd Street Baldwin, MI 49304 United States",https://www.ice.gov/detain/detention-facilities/north-lake-processing-center,43.9284879,-85.83946130000001,,,,
Northeast Ohio Correctional Center,Detroit Field Office,2240 Hubbard Road,Youngstown,OH,44505,United States,,"2240 Hubbard Road Youngstown, OH 44505 United States",https://www.ice.gov/detain/detention-facilities/northeast-ohio-correctional-center,41.13167869999999,-80.63199780000001,USMS IGA,,220,11/28/2025
Northwest ICE Processing Center (NWIPC),Seattle Field Office,"1623 E J Street, Suite 2",Tacoma,WA,98421-1615,United States,,"1623 E J Street, Suite 2 Tacoma, WA 98421-1615 United States",https://www.ice.gov/detain/detention-facilities/northwest-ice-processing-center-nwipc,47.24986029999999,-122.4218964,,,,
Oldham County Detention Center,Chicago Field Office,3405 West Highway 146,LaGrange,KY,40031,United States,(502) 222-3500,"3405 West Highway 146 LaGrange, KY 40031 United States",https://www.ice.gov/detain/detention-facilities/oldham-county-detention-center,38.38929359999999,-85.4237673,USMS IGA,,125,11/28/2025
Orange County Jail,New York City Field Office,110 Wells Farm Road,Goshen,NY,10924,United States,,"110 Wells Farm Road Goshen, NY 10924 United States",https://www.ice.gov/detain/detention-facilities/orange-county-jail,41.4049515,-74.35929720000001,IGSA,,68,08/19/2024
Otay Mesa Detention Center,San Diego Field Office,7488 Calzada de la Fuente,San Diego,CA,92154,United States,,"7488 Calzada de la Fuente San Diego, CA 92154 United States",https://www.ice.gov/detain/detention-facilities/otay-mesa-detention-center,32.5750242,-116.9147637,CDF,750,1475,11/28/2025
Otero County Processing Center,El Paso Field Office,26 McGregor Range Road,Chaparral,NM,88081,United States,,"26 McGregor Range Road Chaparral, NM 88081 United States",https://www.ice.gov/detain/detention-facilities/otero-county-processing-center,32.0768294,-106.2549005,DIGSA,500,846,11/28/2025
Ozark County Jail,Chicago Field Office,1818 County Road 806,Gainesville,MO,65655,United States,,"1818 County Road 806 Gainesville, MO 65655 United States",https://www.ice.gov/detain/detention-facilities/ozark-county-jail,36.6032101,-92.4596506,,,,
Pennington County Jail,St. Paul Field Office,307 Saint Joseph St,Rapid City,SD,57701,United States,,"307 Saint Joseph St Rapid City, SD 57701 United States",https://www.ice.gov/detain/detention-facilities/pennington-county-jail,44.07868029999999,-103.221535,,,,
Phelps County Jail,St. Paul Field Office,715 5th Avenue,Holdrege,NE,68949,United States,,"715 5th Avenue Holdrege, NE 68949 United States",https://www.ice.gov/detain/detention-facilities/phelps-county-jail,40.4395445,-99.3703646,USMS IGA,,29,03/31/2025
Phelps County Jail,Chicago Field Office,500 W. 2nd Street,Rolla,MO,65401,United States,,"500 W. 2nd Street Rolla, MO 65401 United States",https://www.ice.gov/detain/detention-facilities/phelps-county-jail-0,37.9457141,-91.77505339999999,USMS IGA,,1,03/31/2025
Pike County Correctional Facility,Philadelphia Field Office,175 Pike County Blvd.,Lords Valley,PA,18428,United States,,"175 Pike County Blvd. Lords Valley, PA 18428 United States",https://www.ice.gov/detain/detention-facilities/pike-county-correctional-facility,41.3890147,-75.0713413,IGSA,100,123,05/13/2024
